question,duplicate_type,line_numbers,flashcard_ids
私は____、友達と映画を見ました。,cross_id,974;1883;2057,1a05b69c-a051-42aa-8049-8cd2789c4dc8;b7a2ce39-94ce-4141-b2c8-a2d937ec1ee9;e3e91d88-8fed-477a-ae67-9658e721924d
彼は映画を____。,cross_id,978;2177,2191d4d8-1f59-46bb-a6c1-56e88fb16380;69e00c21-84ae-44bd-b595-40e76049be94
あなたは____行きますか？,cross_id,1001;1193,5765a47a-128c-4c0c-9391-e4299dc765c0;9c7e007d-38e3-412f-b66d-4002f4f05193
映画を見____。,cross_id,1013;2205,328be9e3-97d8-4d65-9e9b-4210b8754102;8356dd54-0814-4d5a-b2c7-e1f83dcfc097
彼は学生____。,cross_id,1025;1217;1233;1236;1896,3e05ff6a-d1ca-44d1-8017-67855baf9485;78c0a567-ba7c-426b-9f8f-669374b3bdf8;aea0d7b0-5c2a-4857-9d2d-932a5edfb9a3;e8c483c1-6255-40cf-919f-51b11cf288d9;ff843948-f610-4a5b-bb71-f35ca6c9d225
____は学校に行きます。,cross_id,1048;1103;2093,1cd917a0-cfa9-49ca-8a2d-e578c9ae044b;9656ca0d-ee79-4fb9-88d3-df58dfb816c2;d2ce1285-d12e-46c9-a5d5-10f8118a7aef
私の友達は____です。,cross_id,1057;1623,60347838-5982-4b13-b063-e61aa1a00884;f7aa783e-f5ec-4b19-b1fa-0177d31a906d
彼は____に住んでいます。,cross_id,1058;1913,16326322-6de0-4a9c-b02b-92d846865a4c;39f9a102-a3ea-4037-9f82-bd5a1a95ffac
私の____は大きいです。,cross_id,1059;1360;1677;1719;1886,39f9a102-a3ea-4037-9f82-bd5a1a95ffac;6bda917a-af80-4013-9ae7-1862ddbe5e84;90d6d2e1-7c18-4a70-bb42-5368a6b4f7bc;bd597ed2-2110-4819-ac10-b3be0b48c365;e6489e0d-d7fc-48ae-aa8d-06a0288c23a1
彼は____を使っています。,cross_id,1061;1394,6994f12d-6a5f-47d7-8671-bba09edab222;ebeb3764-4bc3-4e52-8a4a-9fb9e4ea165b
私の家には____がいます。,cross_id,1077;2343,3fafe84a-7a45-4168-a3e9-4700b8ca5560;40ed05de-c5d8-4d11-9642-86fceb0713ca
この____はとても面白いです。,cross_id,1084;1809,06b62be1-fff3-466e-8d06-269fadb25756;54a4acb3-ae4e-43e6-919b-34b840981f9d
彼は新しい____に住んでいます。,cross_id,1097;1173,40a79003-1ba9-49c3-988b-ff2085dd3653;b5c2dcb4-a08b-42d2-86d7-f0e3c380e5a0
この____はとても静かです。,cross_id,1099;1417,2c2b6157-7a60-4d92-a819-35339139019b;40a79003-1ba9-49c3-988b-ff2085dd3653
私は____、友達に会います。,cross_id,1100;2195,5c585090-5e0c-43cf-915e-47604005a1e3;f1da5e55-e56d-4f87-82f2-3ab2038f680d
彼は____に行きました。,cross_id,1115;1482,6e38476d-4e14-4a66-ab68-fe3fdfa97ce3;e25434dc-71a9-451a-b289-4562b3b42ed3
この____はとても重いです。,cross_id,1123;1680,50a8f1ed-f24a-4ebd-9399-223e9e190e99;fffdfff1-dc65-42af-8274-6209ee17336d
私の____は赤いです。,cross_id,1128;1831,1a7761c7-c13a-4fbc-a8fb-1bd632a4a433;f8d3dce0-da32-4a11-8c62-7a2aa7a72aba
毎日____で学校に行きます。,cross_id,1129;1762,1a7761c7-c13a-4fbc-a8fb-1bd632a4a433;927a3a5d-68b4-4826-aaba-96b566d878c6
この問題の答えは____です。,cross_id,1138;1363,a7df9740-2a8a-4377-9c5c-3aee07271ada;c67776a9-849a-47f3-8323-e230f2db7618
私は____旅行に行きます。,cross_id,1150;2143,258958aa-7517-463d-b728-ed2873886077;d43ca8f5-f6e7-45b8-9bcb-3c76a9ebf4cc
彼は忙しい____、手伝えません。,cross_id,1186;1207,5ce96063-cb05-40fe-bbd7-4f7f7f93f653;ac9b8b29-07d8-4c5f-9889-00a5050beb7a
明日は雨が降る____。,cross_id,1200;1232;1235,2129910d-163a-4b30-bfdd-eab0f970bfaf;78c0a567-ba7c-426b-9f8f-669374b3bdf8;ff843948-f610-4a5b-bb71-f35ca6c9d225
この映画は面白い____。,cross_id,1234;1237,78c0a567-ba7c-426b-9f8f-669374b3bdf8;ff843948-f610-4a5b-bb71-f35ca6c9d225
私の____はとても優しいです。,cross_id,1313;1919;1936,48bad9b2-2cac-4208-9f00-0c24794caa75;6925fe03-217d-483e-810b-716c88ecaf7d;caaa6bdf-bc19-4587-8450-457feee4c0be
あの店は____ですか？,cross_id,1328;1418;1484,11bcefb2-b03a-4ecf-9cf3-ed852050b5bd;70c85760-9907-4790-b041-06f290d1005f;a295a3b8-6f3c-45c2-b624-38f7fffac3b9
____に行きましょう。,cross_id,1329;1457;1485,36a2249b-cc2e-477e-9bcb-488c65548b02;70c85760-9907-4790-b041-06f290d1005f;a295a3b8-6f3c-45c2-b624-38f7fffac3b9
明日は新しい____があります。,cross_id,1364;1400,30efca38-8ad9-4774-a77e-a824562a670b;f49f81d8-3ecd-45bb-85eb-a09acb3f3d25
____、友達に会います。,cross_id,1369;2181,0349cadc-b8e3-4afa-807e-f620a316aa35;090417d6-c935-4c28-801c-91227122c4f6
あなたは____をしますか？,cross_id,1376;1487,0d8c2e9a-99fc-46e1-8e34-cf42a0363029;956f9c59-8c9a-4eaf-9f16-3172822dd85a
毎朝、私は____を見ます。,cross_id,1388;1572,3c4f6286-6ccd-40b8-9898-79017546bacf;b6ef460d-64ad-47f8-a3f0-1804d0325cfd
手紙を____に入れました。,cross_id,1389;2366,29cac6bf-2844-421a-9ec3-18a3189a03ed;3c4f6286-6ccd-40b8-9898-79017546bacf
____は私の本です。,cross_id,1451;1460;1466,07ca35b3-cfa1-4d86-8744-bc16a6099087;6b88fd12-7ac2-4da0-ba9a-fa5d8665df46;d077cd09-0c24-4288-b148-2c963dca06cf
____が好きですか？,cross_id,1461;1467,07ca35b3-cfa1-4d86-8744-bc16a6099087;d077cd09-0c24-4288-b148-2c963dca06cf
あなたは____ですか？,cross_id,1497;1960;2284,888083ba-91b7-4217-8a1d-98287d4b10d9;a15dd67a-b0b1-4f7b-859a-91dcf1eb7d7f;c9f3f139-8f11-4ec8-bf08-b0238b7ee509
このテーブルは____です。,cross_id,1532;1754,b4e7ebb7-eb66-4f08-b46d-156a68377e01;d0edadea-c09a-4d6d-bfa0-9f00b019b21f
彼は____犬を飼っています。,cross_id,1547;2309,337eee7d-71ff-4dd0-b6f8-98df3221f44b;41cf1f11-4363-4936-a374-d5efafeeaaaf
今日は____寒いですね。,cross_id,1564;1576,4c7e51c9-285c-44fa-a13d-66f90574ba14;7494ee90-1c91-4ba3-80d5-72b38a97cee3
彼は____コーヒーを飲みます。,cross_id,1591;2007,53f84a81-7fa2-403c-924c-bbf9e5b8b678;c2648eca-4664-41ab-a674-f522a16e0d2c
彼は____車を運転します。,cross_id,1622;1742,60347838-5982-4b13-b063-e61aa1a00884;7fc3cc48-55bd-492f-aefe-ca9e62e9f963
この部屋はとても____です。,cross_id,1626;1662,05ddc809-bb77-4f08-b337-627a016cb3d7;8027a42e-ed42-46d1-8329-26f448cdc072
彼は____が痛いと言いました。,cross_id,1718;1871,90d6d2e1-7c18-4a70-bb42-5368a6b4f7bc;e845e222-7074-4d2b-ba34-5f8aef50c86d
私の好きな色は____です。,cross_id,1777;2332,10dbe437-d3bc-4125-8e62-b6ef6702bf61;2d323895-9647-4b83-9681-6eb7b41fa227
彼女は新しい____を買いました。,cross_id,1781;1944;2279,1b3771e1-dade-4061-8a4c-eb7080d18c94;31be0a2e-02c0-4bfc-b116-2dd84c9618a0;8f4b3e8e-fdb3-4759-96c1-de3547f99adc
彼は____が痛いと言っています。,cross_id,1802;1838,35740875-cfab-4633-97f6-75ae9b59bcfe;882b1762-008c-4a4b-b632-0ac1aeab5c86
彼は毎日____です。,cross_id,1811;2378,5c5f983d-1dbc-4334-aaa6-df3402e672ab;7cd7bb44-67cd-48ba-b7c6-31a1d45069d8
____は毎日学校に行きます。,cross_id,1845;1875,28d5c6db-5239-4089-9114-f8529a58c27d;7b84a8d2-c5fc-443e-bb63-cf014c6d00c5
私の____は日本に住んでいます。,cross_id,1850;1880;1941,82f38870-0f1a-42f2-b30c-b6491cf15c11;c515a961-52c9-4fde-81fc-5ac2df9a651f;f6067132-f69f-42c2-a966-bb303f296428
私の____は料理が上手です。,cross_id,1854;1904;1918,3a6b8392-e8c0-4f8f-8aa4-89b2b5db5b78;70038fe1-0895-4e29-a71a-4e5d725cbbcd;72bf0cea-ebcc-4609-ad78-252b72cb49bb
私の____は日本人です。,cross_id,1859;1934,48bad9b2-2cac-4208-9f00-0c24794caa75;c5c62c1d-7198-4f01-a282-fea526ddc613
あの____はとても優しいです。,cross_id,1865;1967,a4bbdfc1-7cfa-4a94-a30c-9d2ed5411691;c318d8bf-7cd1-4c9f-a1af-59bbdc037afa
私の____は学生です。,cross_id,1866;1892;1937,3c0405e3-cbfb-4e2b-b51e-f1ec08af43cc;57f0e935-59cd-41cc-8a82-75fb46c84cb9;c318d8bf-7cd1-4c9f-a1af-59bbdc037afa
____と一緒に映画を見ました。,cross_id,1867;1939;1969,3c0405e3-cbfb-4e2b-b51e-f1ec08af43cc;a4bbdfc1-7cfa-4a94-a30c-9d2ed5411691;c318d8bf-7cd1-4c9f-a1af-59bbdc037afa
彼は____ですか？,cross_id,1940;2282,82f38870-0f1a-42f2-b30c-b6491cf15c11;888083ba-91b7-4217-8a1d-98287d4b10d9
友達に本を____。,cross_id,1982;2201,999d0215-99c2-4432-bc69-314566384c23;d5d42f88-8b10-4db9-b91e-ae231773c391
彼は毎朝公園で____。,cross_id,2030;2159,9b3c1132-01c7-42c2-8f5a-b9665ecd60a9;a8c034ae-d8a3-450a-b9a2-ad9b208600b8
彼は日本語を____。,cross_id,2037;2210,73c60a34-a0bc-40cb-b743-2876c0363a7e;e5632310-b07d-4195-81eb-d40e847eff0c
彼女は____が好きです。,cross_id,2076;2370,83ceb78b-6374-4082-8d4b-13f90d2c6137;f392b62d-760f-44c3-916c-47b28ba72f6b
彼はドアを____。,cross_id,2111;2213,7b8f417f-0522-40ee-9c16-0b8a0892de1d;d8c1b23e-035f-475d-a0bf-289ef2a13a39
公園に大きな____があります。,cross_id,2294;2327,0b2a9827-c044-4b6f-87ea-e2a3fb9c3758;d6dd4c4d-a1e4-4b3e-bb28-1219e3e5902a
