JLPT,Word,Reading,Meaning,Word Type,Example Sentence JP,Example Sentence EN
N5,しかし,しかし,however; but,Conjunction,今日は雨が降っていますが、明日は晴れるでしょう。,"It is raining today, but it will probably be sunny tomorrow."
N5,時間,じかん,time,Noun,今は時間があります。,I have time now.
N5,～時間,～じかん,~ hours,Noun,私は三時間勉強しました。,I studied for three hours.
N5,仕事,しごと,"work, job, occupation",Noun,私は仕事に行きます。,I am going to work.
N5,辞書,じしょ,dictionary,Noun,私は辞書を使います。,I use a dictionary.
N5,静か,しずか,"quiet, calm",Na-adjective (keiyodoshi),この部屋は静かです。,This room is quiet.
N5,下,した,"under, below, beneath",Noun,猫はテーブルの下にいます。,The cat is under the table.
N5,質問,しつもん,"question, inquiry",Noun,先生に質問があります。,I have a question for the teacher.
N5,自転車,じてんしゃ,bicycle,Noun,私は自転車に乗ります。,I ride a bicycle.
N5,自動車,じどうしゃ,automobile,Noun,私は自動車を運転します。,I drive a car.
N5,死ぬ,しぬ,to die,Godan verb with 'nu' ending,彼は毎日運動しているので、元気に死なないでしょう。,"He exercises every day, so he probably won't die healthy."
N5,字引,じびき,dictionary,Noun,私は字引を使って新しい言葉を調べます。,I use a dictionary to look up new words.
N5,自分,じぶん,"myself, oneself",Pronoun,私は自分を信じています。,I believe in myself.
N5,閉まる,しまる,"to close, to be closed",Godan verb with 'ru' ending,ドアが閉まる。,The door closes.
N5,閉める,しめる,"to close, to shut",Ichidan verb,ドアを閉めてください。,Please close the door.
N5,締める,しめる,"to tie, to fasten, to tighten",Ichidan verb,靴を締める。,I tie my shoes.
N5,じゃ; じゃあ,じゃ; じゃあ,"well, then",Conjunction,じゃあ、行きましょう！,"Well then, let's go!"
N5,写真,しゃしん,a picture; a photograph,Noun,私は友達の写真を撮りました。,I took a picture of my friend.
N5,シャツ,シャツ,shirt,Noun,私は新しいシャツを買いました。,I bought a new shirt.
N5,シャワー,シャワー,shower,Noun,毎朝シャワーを浴びます。,I take a shower every morning.
N5,十,じゅう,ten,Numeric,私は十歳です。,I am ten years old.
N5,～週間,～しゅうかん,~ weeks,Noun,私は毎週、英語の勉強をします。だから、三週間後にテストがあります。,"I study English every week. So, I have a test in three weeks."
N5,授業,じゅぎょう,a class (in school),Noun,私は毎日授業を受けます。,I take classes every day.
N5,宿題,しゅくだい,homework,Noun,私は毎日宿題をします。,I do homework every day.
N5,上手,じょうず,"to be good at, skillful",Na-adjective (keiyodoshi),彼は日本語が上手です。,He is good at Japanese.
N5,丈夫,じょうぶ,"strong, durable, sturdy",Na-adjective (keiyodoshi),このかばんは丈夫です。,This bag is strong.
N5,醤油,しょうゆ,soy sauce,Noun,私は寿司に醤油をかけます。,I put soy sauce on sushi.
N5,食堂,しょくどう,"cafeteria, dining hall",Noun,学校の食堂で昼ごはんを食べます。,I eat lunch in the school cafeteria.
N5,知る,しる,to know,Godan verb with 'ru' ending,私は彼の名前を知っています。,I know his name.
N5,白,しろ,white,Noun,白が好きです。,I like white.
N5,白い,しろい,white,I-adjective (keiyoushi),この車は白いです。,This car is white.
N5,～人,～じん,counter for people,Noun,日本人が二人います。,There are two Japanese people.
N5,新聞,しんぶん,newspaper,Noun,私は毎朝新聞を読みます。,I read the newspaper every morning.
N5,水曜日,すいようび,Wednesday,Noun,水曜日に学校があります。,I have school on Wednesday.
N5,吸う,すう,"to breathe in, to suck",Godan verb with 'u' ending,私はストローでジュースを吸います。,I suck juice through a straw.
N5,スカート,スカート,"a piece of clothing worn from the waist down, typically by women",Noun,彼女は新しいスカートを買いました。,She bought a new skirt.
N5,好き,すき,"liking, fondness, love",Na-adjective,私はりんごが好きです。,I like apples.
N5,少ない,すくない,a little; a few,I-adjective (keiyoushi),りんごが少ないです。,There are few apples.
N5,すぐに,すぐに,"immediately, soon",Adverb (fukushi),私はすぐに行きます。,I will go immediately.
N5,少し,すこし,"a little, a few",Adverb (fukushi),少しだけ待ってください。,Please wait a little.
N5,涼しい,すずしい,"cool, refreshing (especially in reference to weather)",I-adjective (keiyoushi),今日は涼しいです。,It is cool today.
N5,ストーブ,ストーブ,heater (a device for warming a room),Noun,冬にストーブを使います。,I use a heater in winter.
N5,スプーン,スプーン,spoon,Noun,私はスプーンでご飯を食べます。,I eat rice with a spoon.
N5,スポーツ,スポーツ,スポーツは体を動かす活動です。,Noun,私は毎週末にスポーツをします。,I play sports every weekend.
N5,ズボン,ズボン,trousers,Noun,私は新しいズボンを買いました。,I bought new trousers.
N5,住む,すむ,"to reside, to live in",Godan verb with 'mu' ending,私は東京に住んでいます。,I live in Tokyo.
N5,する,する,"to do; to try; to wear small items (e.g., necktie, watch, etc.)",Suru verb,私は毎日運動をする。,I exercise every day.
N5,座る,すわる,to sit,Godan verb,私は椅子に座ります。,I will sit on the chair.
N5,背,せい,"(one's) height, stature",Noun,彼の背は高いです。,His height is tall.
N5,生徒,せいと,student; pupil,Noun,彼は生徒です。,He is a student.
N5,セーター,セーター,sweater,Noun,冬にセーターを着ます。,I wear a sweater in winter.
N5,石鹸,せっけん,soap,Noun,私は石鹸で手を洗います。,I wash my hands with soap.
N5,背広,せびろ,men's suit,Noun,彼は背広を着ています。,He is wearing a suit.
N5,狭い,せまい,narrow; small; not spacious,I-adjective (keiyoushi),この部屋は狭いです。,This room is narrow.
N5,ゼロ,ゼロ,zero,Noun,私の点数はゼロでした。,My score was zero.
N5,千,せん,thousand,Noun,私は千円を持っています。,I have a thousand yen.
N5,先月,せんげつ,last month,Noun,先月は友達と映画を見ました。,"Last month, I watched a movie with my friend."
N5,先週,せんしゅう,last week,Noun,先週、友達と映画を見ました。,"Last week, I watched a movie with my friend."
N5,先生,せんせい,teacher; professor,Noun,私の先生はとても優しいです。,My teacher is very kind.
N5,洗濯,せんたく,"washing, laundry",Noun,私は毎週洗濯をします。,I do laundry every week.
N5,全部,ぜんぶ,"all, everything",Noun,全部食べました。,I ate everything.
N5,そう; そうです,そう; そうです,yes; that's right; it seems that way,Expression,そうですか？それはいいですね。,Is that so? That's nice.
N5,掃除,そうじ (する),"cleaning, sweeping",Noun,毎週土曜日に掃除をします。,I clean every Saturday.
N5,そうして; そして,そうして; そして,and; then,Conjunction,私はご飯を食べました。そして、テレビを見ました。,"I ate rice, and then I watched TV."
N5,そこ,そこ,that place; there,Pronoun,そこに行きたいです。,I want to go there.
N5,そちら,そちら,that place (near you),Pronoun,そちらに行きますか？,Are you going over there?
N5,そっち,そっち,that way (over there),Pronoun,そっちに行きましょう。,Let's go that way.
N5,外,そと,"outside, exterior",Noun,外で遊びましょう。,Let's play outside.
N5,その,その,that (used before a noun),Pre-noun adjectival (rentaishi),その本は面白いです。,That book is interesting.
N5,そば,そば,"near, close, beside; Japanese traditional buckwheat noodle",Noun,私はそばが好きです。,I like soba.
N5,空,そら,sky,Noun,今日は空が青いです。,"Today, the sky is blue."
N5,それ,それ,that one,Pronoun,それは私の本です。,That is my book.
N5,それから,それから,"and then, after that",Expression,朝ごはんを食べました。それから、学校に行きました。,"I ate breakfast. And then, I went to school."
N5,それでは,それでは,"Well then, in that case...",Conjunction,それでは、始めましょう。,"Well then, let's get started."
N5,～台,～だい,counter for vehicles and machines,Noun,車が三台あります。,There are three cars.
N5,大学,だいがく,college; university,Noun,私は大学に行きます。,I will go to university.
N5,大使館,たいしかん,a place where a country's representatives work and help citizens,Noun,私は大使館に行きます。,I will go to the embassy.
N5,大丈夫,だいじょうぶ,It's okay; No need to worry; Everything is fine.,Na-adjective,大丈夫ですか？,Are you okay?
N5,大好き,だいすき,to like very much; to love,Na-adjective,私は猫が大好きです。,I really like cats.
N5,大切,たいせつ,important,Na-adjective (keiyodoshi),この本は大切です。,This book is important.
N5,台所,だいどころ,kitchen,Noun,私は台所で料理をします。,I cook in the kitchen.
N5,大変,たいへん,"very; difficult, hard",Adjective (形容詞),この仕事は大変です。,This job is hard.
N5,高い,たかい,"tall, high; expensive",I-adjective (keiyoushi),この山は高いです。,This mountain is tall.
N5,沢山,たくさん,"many, a lot",Noun,りんごがたくさんあります。,There are a lot of apples.
N5,タクシー,タクシー,taxi,Noun,タクシーに乗ります。,I will take a taxi.
N5,出す,だす,to take (something) out; to submit (something),Godan verb with 'su' ending,私は宿題を出します。,I will submit my homework.
N5,～たち,～たち,plural suffix used to indicate a group or multiple people,Noun,友達たちと公園に行きます。,I will go to the park with my friends.
N5,立つ,たつ,to stand up,Godan verb with 'tsu' ending,彼は立つことができます。,He can stand up.
N5,たて,たて,"length, height",Noun,この木はたてが高いです。,This tree has a great height.
N5,建物,たてもの,building,Noun,あの建物は大きいです。,That building is big.
N5,楽しい,たのしい,"enjoyable, fun",I-adjective (keiyoushi),この映画はとても楽しいです。,This movie is very fun.
N5,頼む,たのむ,"to request, to ask for a favor",Godan verb with 'mu' ending,友達に手伝って頼む。,I ask my friend for help.
N5,たばこ,たばこ,"tobacco, cigarettes",Noun,私はたばこを吸いません。,I do not smoke cigarettes.
N5,多分,たぶん,"perhaps, probably, maybe",Adverb (fukushi),多分、明日は雨が降るでしょう。,Perhaps it will rain tomorrow.
N5,食べ物,たべもの,food,Noun,私は毎日食べ物を買います。,I buy food every day.
N5,食べる,たべる,to eat,Ichidan verb,私はりんごを食べる。,I eat an apple.
N5,卵,たまご,egg,Noun,私は卵を食べます。,I eat an egg.
N5,誰,だれ,who,Pronoun,あの人は誰ですか？,Who is that person?
N5,誰か,だれか,someone,Pronoun,誰かが来ました。,Someone has come.
N5,誕生日,たんじょうび,birthday,Noun,私の誕生日は四月です。,My birthday is in April.
N5,段々,だんだん,"gradually, little by little",Adverb (fukushi),段々、寒くなってきました。,It is getting colder gradually.
N5,小さい,ちいさい,"small, little",I-adjective (keiyoushi),この犬は小さいです。,This dog is small.
N5,小さな,ちいさな,"small, little",Pre-noun adjectival (rentaishi),小さな犬がいます。,There is a small dog.
N5,近い,ちかい,"near, close",I-adjective (keiyoushi),駅は近いです。,The station is close.
N5,違う,ちがう,to be different; to differ; to be wrong,Godan verb with 'u' ending,これは違うよ。,This is different.
N5,近く,ちかく,nearby; in the neighborhood,Noun,私の家の近くに公園があります。,There is a park near my house.
N5,地下鉄,ちかてつ,a train that runs underground; subway,Noun,私は地下鉄で学校に行きます。,I go to school by subway.
N5,地図,ちず,a map,Noun,私は地図を見ています。,I am looking at a map.
N5,父,ちち,(my) father,Noun,私の父は先生です。,My father is a teacher.
N5,茶色,ちゃいろ,brown,Noun,私の好きな色は茶色です。,My favorite color is brown.
N5,茶碗,ちゃわん,bowl for rice,Noun,ご飯は茶碗に入っています。,The rice is in the bowl.
N5,丁度,ちょうど,"just, right, exactly",Adverb (fukushi),今、丁度お昼ご飯を食べています。,I am just having lunch now.
N5,ちょっと,ちょっと,a little; somewhat,Adverb (fukushi),ちょっと待ってください。,Please wait a little.
N5,一日,ついたち,the first day of the month,Noun,一日は月の始まりです。,The first day of the month is the beginning of the month.
N5,使う,つかう,to use,Godan verb with 'u' ending,私はペンを使います。,I use a pen.
N5,疲れる,つかれる,to get tired; to become fatigued,Ichidan verb,私は仕事で疲れました。,I got tired from work.
N5,次,つぎ,next,Noun,次の電車は何時ですか？,What time is the next train?
N5,着く,つく,"to arrive at, to reach",Godan verb with 'ku' ending,学校に着く。,I arrive at school.
N5,机,つくえ,desk,Noun,私は机の上に本があります。,I have a book on the desk.
N5,作る,つくる,"to make, to create",Godan verb with 'ru' ending,私はケーキを作ります。,I will make a cake.
N5,つける,つける,"to turn on (e.g., a light); to attach",Ichidan verb,電気をつけてください。,Please turn on the light.
N5,勤める,つとめる,to work (for),Ichidan verb,彼は会社に勤めています。,He works for a company.
N5,つまらない,つまらない,boring; dull; uninteresting,I-adjective (keiyoushi),この映画はつまらないです。,This movie is boring.
N5,冷たい,つめたい,"cold (to the touch, such as objects or weather)",I-adjective (keiyoushi),この水は冷たいです。,This water is cold.
N5,強い,つよい,"strong, powerful",I-adjective (keiyoushi),彼はとても強いです。,He is very strong.
N5,手,て,hand,Noun,私は手を洗います。,I will wash my hands.
N5,テープ,テープ,tape,Noun,私はテープを使って、箱を閉じます。,I use tape to close the box.
N5,テープレコーダー,テープレコーダー,tape recorder,Noun,私はテープレコーダーで音楽を録音します。,I will record music with a tape recorder.
N5,テーブル,テーブル,"a piece of furniture with a flat top and one or more legs, used for various purposes such as eating or working",Noun,テーブルの上に本があります。,There is a book on the table.
N5,出かける,でかける,to go out; to leave,Ichidan verb,私は友達と出かけます。,I will go out with my friend.
N5,手紙,てがみ,"a written message sent to someone, usually on paper",Noun,友達に手紙を書きました。,I wrote a letter to my friend.
N5,できる,できる,to be able to (to accomplish),Ichidan verb,私は日本語ができる。,I can speak Japanese.
N5,出口,でぐち,an exit,Noun,出口はどこですか？,Where is the exit?
N5,テスト,テスト,a test or examination,Noun,明日、数学のテストがあります。,There is a math test tomorrow.
N5,では,では,"then, well, so",Conjunction,では、始めましょう。,"Well, let's get started."
N5,デパート,デパート,(abbreviation) department store,Noun,私はデパートに行きます。,I will go to the department store.
N5,でも,でも,"but, however",Conjunction,りんごは好きですが、バナナは嫌いです。でも、フルーツは好きです。,"I like apples, but I dislike bananas. However, I like fruits."
N5,出る,でる,"to go out, to leave, to appear",Ichidan verb,友達が家に出る。,My friend is leaving the house.
N5,テレビ,テレビ,"テレビ (television, TV)",Noun,私は毎晩テレビを見ます。,I watch TV every night.
N5,天気,てんき,weather,Noun,今日は天気がいいです。,The weather is nice today.
N5,電気,でんき,"electricity, electric light",Noun,電気をつけてください。,Please turn on the light.
N5,電車,でんしゃ,electric train,Noun,私は毎朝電車で学校に行きます。,I go to school by train every morning.
N5,電話,でんわ,a telephone,Noun,私は電話をかけます。,I will make a phone call.
N5,戸,と,door (Japanese style),Noun,戸を開けてください。,Please open the door.
N5,～度,～ど,counter for occurrences; ~ degree; ~ point,Noun,今日は三度目のテストです。,Today is the third test.
N5,ドア,ドア,door (Western style),Noun,ドアを開けてください。,Please open the door.
N5,トイレ,トイレ,bathroom; toilet,Noun,トイレはあちらです。,The bathroom is over there.
N5,どう,どう,"how, in what way",Adverb,あなたはどう思いますか？,What do you think?
N5,どうして,どうして,"why, for what reason",Adverb (fukushi),どうして学校に行きませんか？,Why don't you go to school?
N5,どうぞ,どうぞ,"please, go ahead",Expression,これをどうぞ。,Please take this.
N5,動物,どうぶつ,animal,Noun,私は動物が好きです。,I like animals.
N5,どうも,どうも,Thank you; somehow; used to express gratitude or to indicate a vague feeling,Adverb / Interjection,どうもありがとう。,Thank you very much.
N5,十,(〜を) とお,ten,Numeric,りんごが十個あります。,There are ten apples.
N5,遠い,とおい,"far (away), distant",I-adjective (keiyoushi),あの山は遠いです。,That mountain is far away.
N5,十日,とおか,ten days; the tenth day of the month,Noun,私は十日に友達と会います。,I will meet my friend on the tenth day.
N5,時々,ときどき,sometimes,Adverb (fukushi),私は時々映画を見ます。,I watch movies sometimes.
N5,時計,とけい,a watch; a clock,Noun,私は時計を見ます。,I look at the clock.
N5,どこ,どこ,"where, what place",Pronoun,あなたはどこにいますか？,Where are you?
N5,所,ところ,place,Noun,ここは私の好きな所です。,This is my favorite place.
N5,年,とし,"year, age",Noun,私は三十歳です。私の年は三十です。,I am thirty years old. My age is thirty.
N5,図書館,としょかん,library,Noun,私は図書館で本を読みます。,I read books at the library.
N5,どちら,どちら,which (one); where (polite),Pronoun,どちらが好きですか？,Which one do you like?
N5,どっち,どっち,which one,Pronoun,りんごとバナナ、どっちが好きですか？,"Which do you like, apples or bananas?"
N5,とても,とても,"very (much), greatly, exceedingly",Adverb (fukushi),このケーキはとてもおいしいです。,This cake is very delicious.
N5,どなた,どなた,who (polite),Pronoun,あの方はどなたですか？,Who is that person?
N5,隣,となり,"next to, next door to",Noun,私の隣に座っている人は友達です。,The person sitting next to me is my friend.
N5,どの,どの,which (used to ask about a choice among options),Pre-noun adjectival (rentaishi),どの本が好きですか？,Which book do you like?
N5,飛ぶ,とぶ,"to fly, to hop",Godan verb with 'bu' ending,鳥が空を飛んでいます。,The bird is flying in the sky.
N5,止まる,とまる,to stop,Godan verb,バスが止まる。,The bus stops.
N5,友達,ともだち,friend,Noun,私は友達と公園に行きます。,I will go to the park with my friend.
N5,土曜日,どようび,Saturday,Noun,土曜日に友達と映画を見ます。,I will watch a movie with my friend on Saturday.
N5,鳥,とり,bird (including chicken),Noun,私は鳥が好きです。,I like birds.
N5,鶏肉,とりにく,chicken meat,Noun,私は鶏肉が好きです。,I like chicken meat.
N5,取る,とる,to take (a class); to get (a grade),Godan verb,私は日本語のクラスを取ります。,I will take a Japanese class.
N5,撮る,とる,"to take (a photo), to shoot (a film)",Godan verb,私は写真を撮ります。,I will take a photo.
N5,どれ,どれ,which one,Pronoun,どれがあなたの本ですか？,Which one is your book?
N5,どんな,どんな,what kind of,Pre-noun adjectival (rentaishi),あなたはどんな本が好きですか？,What kind of books do you like?
N5,ない,ない,"there isn't, doesn't have",Verb (negative form),犬がない。,There isn't a dog.
N5,ナイフ,ナイフ,"a tool used for cutting, typically with a sharp blade",Noun,私はナイフでリンゴを切ります。,I cut the apple with a knife.
N5,中,なか,"inside, middle, among",Noun,箱の中におもちゃがあります。,There is a toy inside the box.
N5,長い,ながい,"long, lengthy",I-adjective (keiyoushi),この道は長いです。,This road is long.
N5,鳴く,なく,to cry (of animals),Godan verb with 'ku' ending,鳥が鳴く。,The bird sings.
N5,無くす,なくす,to lose something,Godan verb with 'su' ending,私は財布を無くしました。,I lost my wallet.
N5,なぜ,なぜ,why (same as どうして),Adverb (fukushi),なぜあなたは学校に行きませんか？,Why don't you go to school?
N5,夏,なつ,summer,Noun,夏はとても暑いです。,Summer is very hot.
N5,夏休み,なつやすみ,summer vacation,Noun,私は夏休みに海に行きます。,I will go to the beach during summer vacation.
N5,七つ,ななつ,seven (things),Noun,私は七つのリンゴを持っています。,I have seven apples.
N5,何,なん; なに,what,Pronoun,これは何ですか？,What is this?
N5,七日,なのか,seven days; the seventh day of the month,Noun,今日は七日です。,Today is the seventh day.
N5,名前,なまえ,name,Noun,私の名前は田中です。,My name is Tanaka.
N5,習う,ならう,to learn,Godan verb with 'u' ending,私は日本語を習っています。,I am learning Japanese.
N5,並ぶ,ならぶ,"to line up, to stand in a line",Godan verb with 'bu' ending,みんなが学校の前に並んでいます。,Everyone is lined up in front of the school.
N5,並べる,ならべる,to put (things) side by side; to line up,Ichidan verb,本を並べる。,I line up the books.
N5,なる,なる,to become,Godan verb with 'ru' ending,私は学生になります。,I will become a student.
N5,二,に,two,Numeric,りんごが二つあります。,There are two apples.
N5,にぎやか,にぎやか,"bustling, lively",Na-adjective (keiyodoshi),この町はにぎやかです。,This town is bustling.
N5,肉,にく,meat,Noun,私は肉が好きです。,I like meat.
N5,西,にし,west,Noun,学校は西にあります。,The school is to the west.
N5,～日,～にち,"~ day of the month, for ~ days",Noun,今日は三日です。,Today is the third (day of the month).
N5,日曜日,にちようび,Sunday,Noun,日曜日に友達と遊びます。,I will play with my friends on Sunday.
N5,荷物,にもつ,luggage; baggage,Noun,私は荷物を持っています。,I have luggage.
N5,ニュース,ニュース,news,Noun,私は毎朝ニュースを見ます。,I watch the news every morning.
N5,庭,にわ,garden,Noun,私の庭には花があります。,There are flowers in my garden.
N5,～人,～にん,counter for people,Noun,学生が三人います。,There are three students.
N5,脱ぐ,ぬぐ,to take off (clothes),Godan verb with 'gu' ending,私は家に帰ったら、コートを脱ぎます。,"When I get home, I will take off my coat."
N5,温い,ぬるい,lukewarm; not hot or cold,I-adjective (keiyoushi),お湯がぬるいです。,The water is lukewarm.
N5,ネクタイ,ネクタイ,"tie, necktie",Noun,彼は新しいネクタイを買いました。,He bought a new tie.
N5,猫,ねこ,cat,Noun,私の家には猫がいます。,There is a cat in my house.
N5,寝る,ねる,to sleep; to go to bed,Ichidan verb,私は毎晩10時に寝ます。,I go to bed at 10 o'clock every night.
N5,～年,～ねん,~ years,Noun,私は三年日本語を勉強しました。,I studied Japanese for three years.
N5,ノート,ノート,notebook,Noun,私はノートに書きます。,I write in my notebook.
N5,登る,のぼる,to climb,Godan verb,山に登る。,I climb the mountain.
N5,飲み物,のみもの,"drink, beverage",Noun,水は飲み物です。,Water is a drink.
N5,飲む,のむ,to drink,Godan verb with 'mu' ending,水を飲みます。,I drink water.
N5,乗る,のる,"to get on, to ride, to board",Godan verb with 'ru' ending,バスに乗る。,I get on the bus.
N5,歯,は,tooth,Noun,私の歯は痛いです。,My tooth hurts.
N5,パーティー,パーティー,a party,Noun,友達とパーティーをします。,I will have a party with my friends.
N5,はい,はい,yes,Interjection,はい、わかりました。,"Yes, I understand."
N5,～杯,～はい,counter for cups or cupfuls,Counter,水を二杯飲みました。,I drank two cups of water.
N5,灰皿,はいざら,a container for ashes from cigarettes or other smoking materials,Noun,テーブルの上に灰皿があります。,There is an ashtray on the table.
N5,入る,はいる,"to enter, to go in",Godan verb,部屋に入る。,I enter the room.
N5,葉書,はがき,postcard,Noun,友達に葉書を書きました。,I wrote a postcard to my friend.
N5,はく,はく,"to put on (items below your waist, like pants or a skirt)",Godan verb with 'ku' ending,私はズボンをはきます。,I put on pants.
N5,箱,はこ,box,Noun,私は箱を開けます。,I will open the box.
N5,橋,はし,bridge,Noun,あの橋はとても大きいです。,That bridge is very big.
N5,箸,はし,chopsticks,Noun,私は箸でご飯を食べます。,I eat rice with chopsticks.
N5,始まる,はじまる,(something) begins,Godan verb with 'ru' ending,授業が始まる。,The class begins.
N5,初め; 始め,はじめ,"beginning, start",Noun,新しい仕事の初めは緊張します。,The beginning of a new job is nerve-wracking.
N5,初めて,はじめて,for the first time,Adverb (fukushi),私は初めて日本に行きました。,I went to Japan for the first time.
N5,走る,はしる,to run,Godan verb with 'ru' ending,私は公園で走ります。,I run in the park.
N5,バス,バス,bus,Noun,私はバスに乗ります。,I will take the bus.
N5,バター,バター,butter,Noun,パンにバターをぬります。,I spread butter on the bread.
N5,二十歳,はたち,20 years old,Noun,彼は二十歳です。,He is 20 years old.
N5,働く,はたらく,to work,Godan verb with 'ku' ending,私は毎日働きます。,I work every day.
N5,八,はち,eight,Numeric,私は八つのリンゴを持っています。,I have eight apples.
N5,二十日,はつか,twentieth (day of the month),Noun,今日は二十日です。,Today is the twentieth.
N5,花,はな,flower,Noun,公園に花がたくさんあります。,There are many flowers in the park.
N5,鼻,はな,nose,Noun,私の鼻は大きいです。,My nose is big.
N5,話,はなし,"talk (chat), story",Noun,彼と面白い話をしました。,I had an interesting talk with him.
N5,話す,はなす,to speak,Godan verb with 'su' ending,私は日本語を話します。,I speak Japanese.
N5,母,はは,(my) mother,Noun,私の母は料理が上手です。,My mother is good at cooking.
N5,早い,はやい,early,I-adjective (keiyoushi),私は早い電車に乗ります。,I take the early train.
N5,速い,はやい,"fast, quick",I-adjective (keiyoushi),彼は速い車を持っています。,He has a fast car.
N5,春,はる,spring,Noun,春が来ました。,Spring has come.
N5,貼る,はる,to post; to paste; to attach,Godan verb,私は壁にポスターを貼ります。,I will paste a poster on the wall.
N5,晴れ,はれ,clear (sunny) weather,Noun,今日は晴れです。,Today is sunny.
N5,晴れる,はれる,to be sunny,Godan verb,今日は晴れると思います。,I think it will be sunny today.
N5,半,はん,"half (e.g., にじはん | half-past two)","Noun, used as a prefix",いま、にじはんです。,It is half-past two now.
N5,晩,ばん,evening,Noun,晩ごはんを食べます。,I will eat dinner.
N5,～番,～ばん,~th; ~th best,Noun,彼はクラスで一番です。,He is the best in the class.
N5,パン,パン,bread,Noun,私は朝ごはんにパンを食べます。,I eat bread for breakfast.
N5,ハンカチ,ハンカチ,handkerchief,Noun,私はハンカチを持っています。,I have a handkerchief.
N5,番号,ばんごう,"number, a series of digits",Noun,私の電話番号は123-4567です。,My phone number is 123-4567.
N5,晩御飯,ばんごはん,"dinner, evening meal",Noun,今日は晩御飯に寿司を食べます。,I will eat sushi for dinner today.
N5,半分,はんぶん,half,Noun,リンゴを半分に切りました。,I cut the apple in half.
N5,東,ひがし,east,Noun,私の家は東にあります。,My house is to the east.
N5,～匹,～ひき,counter for small animals,Counter,猫が三匹います。,There are three cats.
N5,引く,ひく,to pull; to draw; to subtract,Godan verb with 'ku' ending,私はドアを引きます。,I will pull the door.
N5,弾く,ひく,to play (a string instrument or piano),Godan verb with 'ku' ending,彼はギターを弾きます。,He plays the guitar.
N5,低い,ひくい,"short, low",I-adjective (keiyoushi),このテーブルは低いです。,This table is low.
N5,飛行機,ひこうき,airplane,Noun,私は飛行機で旅行します。,I will travel by airplane.
N5,左,ひだり,left side,Noun,左に行ってください。,Please go to the left.
N5,人,ひと,person,Noun,あの人は学生です。,That person is a student.
N5,一つ,ひとつ,one thing,Noun,リンゴを一つください。,Please give me one apple.
N5,一月,ひとつき,one month,Noun,一月は寒いです。,January is cold.
N5,一人,ひとり,one person,Noun,私は一人で行きます。,I will go alone.
N5,暇,ひま,"free time, leisure",Noun,今日は暇です。,I am free today.
N5,百,ひゃく,hundred,Noun,私は百円を持っています。,I have one hundred yen.
N5,病院,びょういん,hospital,Noun,私は病院に行きます。,I will go to the hospital.
N5,病気,びょうき,illness; sickness,Noun,私は病気です。,I am sick.
N5,平仮名,ひらがな,a Japanese syllabary used for native Japanese words and grammatical elements,Noun,私は平仮名を勉強しています。,I am studying hiragana.
N5,昼,ひる,"noon, daytime",Noun,私は昼に昼ごはんを食べます。,I eat lunch during the daytime.
N5,昼御飯,ひるごはん,"lunch, midday meal",Noun,私は毎日昼御飯を食べます。,I eat lunch every day.
N5,広い,ひろい,spacious; wide; broad,I-adjective (keiyoushi),この部屋は広いです。,This room is spacious.
N5,フィルム,フィルム,フィルムは写真を撮るためのロールです。,Noun,私はフィルムを買いました。,I bought a film.
N5,封筒,ふうとう,envelope,Noun,手紙を封筒に入れました。,I put the letter in the envelope.
N5,プール,プール,swimming pool,Noun,夏にプールで泳ぎます。,I swim in the pool in summer.
N5,フォーク,フォーク,fork,Noun,私はフォークでサラダを食べます。,I eat salad with a fork.
N5,吹く,ふく,"to blow (wind, etc.)",Godan verb with 'ku' ending,風が吹く。,The wind blows.
N5,服,ふく,clothes,Noun,私は新しい服を買いました。,I bought new clothes.
N5,二つ,ふたつ,two things,Noun,りんごが二つあります。,There are two apples.
N5,豚肉,ぶたにく,pork,Noun,私は豚肉が好きです。,I like pork.
N5,二人,ふたり,two people,Noun,公園に二人がいます。,There are two people in the park.
N5,二日,ふつか,two days; the second day of the month,Noun,今日は二日です。,Today is the second day of the month.
N5,太い,ふとい,"fat, thick",I-adjective (keiyoushi),この木は太いです。,This tree is thick.
N5,冬,ふゆ,winter,Noun,冬はとても寒いです。,Winter is very cold.
N5,降る,ふる,"to fall (e.g., rain, snow, etc.)",Godan verb with 'ru' ending,雪が降っています。,It is snowing.
N5,古い,ふるい,"old (in reference to objects, not people), aged, ancient",I-adjective (keiyoushi),この本は古いです。,This book is old.
N5,～分,～ふん,~ minutes,Noun,今、5分待ってください。,Please wait for 5 minutes.
N5,文章,ぶんしょう,a sentence or a piece of text,Noun,この文章はとても面白いです。,This sentence is very interesting.
N5,ページ,ページ,a page,Noun,このページを見てください。,Please look at this page.
N5,下手,へた,"unskillful, poor",Na-adjective (keiyodoshi),私は下手な歌手です。,I am an unskillful singer.
N5,ベッド,ベッド,bed,Noun,私はベッドで寝ます。,I sleep in my bed.
N5,ペット,ペット,a pet,Noun,私のペットは犬です。,My pet is a dog.
N5,部屋,へや,a room,Noun,私の部屋はきれいです。,My room is clean.
N5,辺,へん,"area, vicinity",Noun,この辺に公園があります。,There is a park in this area.
N5,ペン,ペン,a writing instrument used to write or draw,Noun,私はペンで手紙を書きます。,I write a letter with a pen.
N5,勉強,べんきょう (する),study,"Noun, Verb",私は毎日勉強します。,I study every day.
